Titles,Fields,Salaries,Locations,Cities,Experiences,Enrollment_statuses,Educations,Dates
Тілдік пәндер саласындағы ЖОО оқытушысы,Білім беру және тәрбиелеу,от 95 000 до 150 000 тг.,"""Каспий өңірі ""Болашақ"" колледжі"" Жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Ақтау қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,26.10.2024 жарияланды
Ресепшн қызметкері,Тұру және тамақтану,от 100 000 до 180 000 тг.,The Smart Space,"Шымкент қ., Тұран ауданы",Еңбек өтілі жоқ,ауысымды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),25.10.2024 жарияланды
Сәулетші-дизайнер,Құрылыс және сәулет,100 000 тг. бастап,"""QAZ07"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,25.10.2024 жарияланды
SMM-менеджер,Маркетинг және БАҚ,100 000 тг. бастап,"""QAZ07"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,25.10.2024 жарияланды
Әкімшілік хатшысы,HR және хатшылық,100 000 тг. бастап,"""QAZ07"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық емес жұмыс күні,техникалық және кәсіби,25.10.2024 жарияланды
Авиациядағы инженер,Көлік және логистика,400 000 тг. бастап,"""Қазақстанның авиациялық әкімшілігі"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,502 900 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Қарағанды филиалы","Қарағанды облысы, Балқаш қ.",Еңбек өтілі жоқ,ауысымды,жоғары,24.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,502 900 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Қарағанды филиалы","Ұлытау облысы, Жезқазған қ.",Еңбек өтілі жоқ,ауысымды,жоғары,24.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,569 800 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Қарағанды филиалы","Ұлытау облысы, Жезқазған қ.",6 жыл жұмыс өтілі,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,502 900 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Қарағанды филиалы","Қарағанды облысы, Қарағанды қ.",Еңбек өтілі жоқ,ауысымды,жоғары,24.10.2024 жарияланды
Қаржылық бақылау жөніндегі құрылымдық бөлімнің жетекшісі,Қаржы және бухгалтерлік есеп,900 000 тг. бастап,"""Нұрсұлтан Назарбаев халықаралық әуежайы"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",7 жыл жұмыс өтілі,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Медициналық массажист,Медицина және фармацевтика,150 000 тг. бастап,"""BATYS SABI"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,24.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,569 800 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Қарағанды филиалы","Қарағанды облысы, Бұқар жырау ауданы, Үштөбе а.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,24.10.2024 жарияланды
Бала бақшасындағы күтуші,Білім беру және тәрбиелеу,150 000 тг. бастап,"""BATYS SABI"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,24.10.2024 жарияланды
География пәнінің мұғалімі,Білім беру және тәрбиелеу,от 100 000 до 120 000 тг.,«Батыс Қазақстан облысы әкімдігі білім басқармасының Тасқала ауданы білім беру бөлімінің «Айнабұлақ негізгі орта мектебі» коммуналдық мемлекеттік мекемесі,"Батыс Қазақстан облысы, Тасқала ауданы, Айнабұлақ а.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Техникалық құжаттаманы әзірлеу жөніндегі маман (техникалық жазушы),IT және телекоммуникациялар,250 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Жаңаөзен қ.",3 жыл жұмыс өтілі,вахталық әдіс,техникалық және кәсіби,24.10.2024 жарияланды
Швейцар,Біліктілігі жоқ мамандықтар,120 000 тг. бастап,"""Султан и Ким"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Алмалы ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,ортадан кейін,24.10.2024 жарияланды
Қазандық оператор,Өндіріс,от 90 000 до 100 000 тг.,"""Ақтөбе облысының білім басқармасы Ойыл ауданының білім бөлімі» мемлекеттік мекемесінің «Көсембай негізгі мектебі» коммуналдық мемлекеттік мекемесі","Ақтөбе облысы, Ойыл ауданы, Көсембай а.",Еңбек өтілі жоқ,толық жұмыс күні,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),24.10.2024 жарияланды
Медицина тіркеушісі,Медицина және фармацевтика,от 200 000 до 230 000 тг.,"""Prospekt Medical Caspian"" (""Проспект Медикал Каспиан"") жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",1 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,24.10.2024 жарияланды
Логопед-дефектолог,Білім беру және тәрбиелеу,150 000 тг. бастап,"""BATYS SABI"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Орал қ.",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,24.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 200 000 до 400 000 тг.,"""LETS Nursaya"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Ақтау қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Бас инженер (құрылыста),Құрылыс және сәулет,от 248 000 до 315 000 тг.,"""ҚазАвтоЖол"" Ұлттық компаниясы"" акционерлік қоғамының Жамбыл облыстық филиалы","Жамбыл облысы, Тараз қ.",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,24.10.2024 жарияланды
Аналитик-зерттеуші,Ғылым және кеңес беру,200 000 тг. бастап,"""Ахмет Байтұрсынұлы атындағы ""Талдау"" ұлттық зерттеулер және білімді бағалау орталығы"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,24.10.2024 жарияланды
Фельдшер,Медицина және фармацевтика,от 180 000 до 200 000 тг.,"""Яссин"" Медициналық орталығы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Жамбыл ауданы, Айшабибі а.",Еңбек өтілі жоқ,вахталық әдіс,техникалық және кәсіби,24.10.2024 жарияланды
Бағдарламалар және жобалар координаторы ( менеджері),Ғылым және кеңес беру,500 000 тг. бастап,"Қазақстан Республикасы Цифрлық даму, инновациялар және аэроғарыш өнеркәсібі министрлігінің ""Цифрлық үкіметті қолдау орталығы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""ТКШ БАҚ"" жауапкершілігі шектеулі серіктестігі","Алматы облысы, Қонаев қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
Ақпараттық ресурстарды құру және басқару жөніндегі маман (контент-менеджер),IT және телекоммуникациялар,900 000 тг. бастап,"""Қазақстандағы ""Интерньюс Нетуорк"" өкілдігі","Алматы  қ., Бостандық ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,23.10.2024 жарияланды
